 - "A total of %1 Infomations have been deleted.","A total of %1 Infomations have been deleted."
 - "Add New Infomation","Add New Infomation"
 - "Address","Address"
 - "Agent information","Agent information"
 - "An error occurred while deleting Infomations.","An error occurred while deleting Infomations."
 - "Are you sure you wan't to delete selected Infomations?","Are you sure you wan't to delete selected Infomations?"
 - "Are you sure you wan\'t to delete the Infomation ""${ $.$data.name }"" ?","Are you sure you wan\'t to delete the Infomation ""${ $.$data.name }"" ?"
 - "Are you sure you want to do this?","Are you sure you want to do this?"
 - "Back","Back"
 - "Could not save the Infomation: %1","Could not save the Infomation: %1"
 - "Create New Infomation","Create New Infomation"
 - "Created","Created"
 - "Delete ""${ $.$data.name }""","Delete ""${ $.$data.name }"""
 - "Delete Infomation","Delete Infomation"
 - "Delete Infomations","Delete Infomations"
 - "Delete","Delete"
 - "Edit Infomation","Edit Infomation"
 - "Edit","Edit"
 - "Email","Email"
 - "ID","ID"
 - "Infomation Information","Infomation Information"
 - "Infomations","Infomations"
 - "Manage Infomations","Manage Infomations"
 - "Name","Name"
 - "New Infomation","New Infomation"
 - "Phone","Phone"
 - "Please correct the data sent.","Please correct the data sent."
 - "Region","Region"
 - "Requested Infomation doesn\'t exist","Requested Infomation doesn\'t exist"
 - "Reset","Reset"
 - "Save Infomation","Save Infomation"
 - "Save and Continue Edit","Save and Continue Edit"
 - "Something went wrong while saving the Infomation.","Something went wrong while saving the Infomation."
 - "The Infomation has been deleted.","The Infomation has been deleted."
 - "The Infomation no longer exists.","The Infomation no longer exists."
 - "There was a problem deleting the Infomation","There was a problem deleting the Infomation"
 - "There was a problem saving the Infomation","There was a problem saving the Infomation"
 - "Unable to remove Infomation %1","Unable to remove Infomation %1"
 - "Updated","Updated"
 - "We can\'t find a Infomation to delete.","We can\'t find a Infomation to delete."
 - "You saved the Infomation","You saved the Infomation"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Infomation %1","Infomation %1"
"Infomation to delete was not found.","Infomation to delete was not found."
"Infomation","Infomation"
"Please Select Infomations.","Please Select Infomations."
"Something went wrong while saving the Infomation.","Something went wrong while saving the Infomation."
"The Infomation has been deleted.","The Infomation has been deleted."
"The Infomation has been saved.","The Infomation has been saved."
"This Infomation no longer exists.","This Infomation no longer exists."
